,states,City,Population,total_crimes,Aggravated Assault,Simple Assault,Intimidation,Murder and Nonnegligent Manslaughter,Negligent Man- slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/ Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,"Sex Offenses, Non- forcible",Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism of Property,Embezzle- ment,Extortion/ Blackmail,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imper- sonation,Welfare Fraud,Wire Fraud,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin Op- erated Machine or Device,Theft From Motor Vehicle,Theft of  Motor  Vehicle Parts or Acces- sories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Por- nography/ Obscene Material,Pros- titution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations
41,ARKANSAS,Clarendon,1514,79.0,2,18,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,2,1,0,3,1,16,3,0,0,6,1,0,0,0,0,0,0,0,0,1
42,ARKANSAS,Clarksville,9443,927.0,13,137,28,0,0,0,0,0,0,3,4,8,0,0,0,0,0,1,0,34,18,118,0,0,2,10,22,0,3,0,1,160,86,1,27,1,134,20,4,0,47,35,0,0,0,0,1,1,0,0,8
43,ARKANSAS,Clinton,2537,61.0,3,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,2,10,0,5,2,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0
44,ARKANSAS,Conway,65764,7493.0,199,710,707,3,0,0,0,0,0,9,31,3,0,0,0,0,0,2,0,401,189,957,0,0,145,217,0,0,0,0,0,673,9,10,534,88,1262,156,84,120,539,385,0,0,0,0,2,8,0,0,50
45,ARKANSAS,Corning,3113,181.0,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,6,0,0,0,0,0,0,0,0,0,10,0,0,1,0,12,1,0,3,58,49,0,0,0,0,0,0,0,0,3
46,ARKANSAS,Cotter,941,59.0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,0,0,0,0,0,0,0,2,0,3,0,13,0,0,0,11,10,0,0,0,0,0,0,0,0,0
47,ARKANSAS,Crossett,5192,544.0,17,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,112,9,76,0,0,11,21,3,0,0,0,0,29,0,0,1,0,117,5,6,4,33,14,0,0,0,0,0,0,0,0,15
48,ARKANSAS,Damascus,382,39.0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,2,4,0,0,0,10,6,0,0,0,0,0,0,0,0,1
49,ARKANSAS,Danville,2368,37.0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,3,2,1,0,5,0,0,0,0,0,0,0,0,0,1
50,ARKANSAS,Dardanelle,4702,300.0,14,43,11,0,0,0,0,0,0,3,9,1,0,1,0,0,0,1,0,42,13,49,0,0,9,6,2,0,0,0,0,0,2,1,4,3,54,8,0,2,14,5,0,0,0,0,0,0,1,0,2
